<p>1.いつまでもインウが止まない。<br><span class="toggle-text">淫雨</span><p>
<p>2.記入はカイショでお願いします。<br><span class="toggle-text">楷書</span><p>
<p>3.彼のチミツな計算に間違いはない。<br><span class="toggle-text">緻密</span><p>
<p>4.オクソクでものを言うべきではない。<br><span class="toggle-text">臆測</span><p>
<p>5.彼のアイマイな態度が皆を迷わせた。<br><span class="toggle-text">曖昧</span><p>
<p>6.メイリョウな発音が正確さの条件だ。<br><span class="toggle-text">明瞭</span><p>
<p>7.刑事がミケンにしわを寄せて考える。<br><span class="toggle-text">眉間</span><p>
<p>8.ワキバラを引き締めるストレッチ。<br><span class="toggle-text">脇腹</span><p>
<p>9.観客を魅了するカンペキな演技だ。<br><span class="toggle-text">完璧</span><p>
<p>10.暗い所に入るとドウコウは開く。<br><span class="toggle-text">瞳孔</span><p>
<p>11.いよいよ決センの時が来た。<br><span class="toggle-text">戦</span><p>
<p>12.決セン投票で決まった議長。<br><span class="toggle-text">選</span><p>
<p>13.最近の気候は異ジョウだ。<br><span class="toggle-text">常</span><p>
<p>14.機械に異ジョウはない。<br><span class="toggle-text">状</span><p>
<p>15.既セイ服を購入する。<br><span class="toggle-text">製</span><p>
<p>16.既セイの事実として知られる。<br><span class="toggle-text">成</span><p>
<p>17.あえて批判をカン受する。<br><span class="toggle-text">甘</span><p>
<p>18.子どもはカン受性が豊かだ。<br><span class="toggle-text">感</span><p>
<p>19.不法な建物を強セイ的に壊す。<br><span class="toggle-text">制</span><p>
<p>20.各家庭に募金を強セイする。<br><span class="toggle-text">請</span><p>
